CR(m),DR(m),IMG(dBm2),ARG(Deg.)
-0.9047,-0.3750,-389.4721,-389.4721
-0.9047,-0.3000,-389.4721,-389.4721
-0.9047,-0.2250,-389.4721,-389.4721
-0.9047,-0.1500,-389.4721,-389.4721
-0.9047,-0.0750,-389.4721,-389.4721
-0.9047,0.0000,-389.4721,-389.4721
-0.9047,0.0750,-389.4721,-389.4721
-0.9047,0.1500,-389.4721,-389.4721
-0.9047,0.2250,-389.4721,-389.4721
-0.9047,0.3000,-389.4721,-389.4721
-0.9047,0.3750,-389.4721,-389.4721
-0.8293,-0.3750,-389.4721,-389.4721
-0.8293,-0.3000,-43.9729,-43.9729
-0.8293,-0.2250,-79.0419,-79.0419
-0.8293,-0.1500,-77.4612,-77.4612
-0.8293,-0.0750,-75.0117,-75.0117
-0.8293,0.0000,-62.9480,-62.9480
-0.8293,0.0750,-54.6690,-54.6690
-0.8293,0.1500,-51.8153,-51.8153
-0.8293,0.2250,-53.7369,-53.7369
-0.8293,0.3000,-61.1455,-61.1455
-0.8293,0.3750,-75.7189,-75.7189
-0.7539,-0.3750,-389.4721,-389.4721
-0.7539,-0.3000,-41.0012,-41.0012
-0.7539,-0.2250,-78.3155,-78.3155
-0.7539,-0.1500,-91.0621,-91.0621
-0.7539,-0.0750,-78.9266,-78.9266
-0.7539,0.0000,-65.1520,-65.1520
-0.7539,0.0750,-59.8232,-59.8232
-0.7539,0.1500,-63.7000,-63.7000
-0.7539,0.2250,-67.2963,-67.2963
-0.7539,0.3000,-61.1412,-61.1412
-0.7539,0.3750,-64.3790,-64.3790
-0.6785,-0.3750,-389.4721,-389.4721
-0.6785,-0.3000,-38.6104,-38.6104
-0.6785,-0.2250,-79.0942,-79.0942
-0.6785,-0.1500,-87.0654,-87.0654
-0.6785,-0.0750,-78.4824,-78.4824
-0.6785,0.0000,-68.6999,-68.6999
-0.6785,0.0750,-55.7122,-55.7122
-0.6785,0.1500,-50.7636,-50.7636
-0.6785,0.2250,-51.1411,-51.1411
-0.6785,0.3000,-56.9265,-56.9265
-0.6785,0.3750,-72.7118,-72.7118
-0.6031,-0.3750,-389.4721,-389.4721
-0.6031,-0.3000,-36.9466,-36.9466
-0.6031,-0.2250,-71.3413,-71.3413
-0.6031,-0.1500,-84.9355,-84.9355
-0.6031,-0.0750,-66.1981,-66.1981
-0.6031,0.0000,-65.5189,-65.5189
-0.6031,0.0750,-68.0352,-68.0352
-0.6031,0.1500,-57.2445,-57.2445
-0.6031,0.2250,-54.7301,-54.7301
-0.6031,0.3000,-57.5735,-57.5735
-0.6031,0.3750,-64.0171,-64.0171
-0.5277,-0.3750,-389.4721,-389.4721
-0.5277,-0.3000,-36.0903,-36.0903
-0.5277,-0.2250,-61.3621,-61.3621
-0.5277,-0.1500,-65.4188,-65.4188
-0.5277,-0.0750,-60.2724,-60.2724
-0.5277,0.0000,-55.0918,-55.0918
-0.5277,0.0750,-51.5492,-51.5492
-0.5277,0.1500,-50.9929,-50.9929
-0.5277,0.2250,-55.7238,-55.7238
-0.5277,0.3000,-69.7142,-69.7142
-0.5277,0.3750,-58.2013,-58.2013
-0.4523,-0.3750,-389.4721,-389.4721
-0.4523,-0.3000,-35.7152,-35.7152
-0.4523,-0.2250,-54.2027,-54.2027
-0.4523,-0.1500,-58.5083,-58.5083
-0.4523,-0.0750,-57.9430,-57.9430
-0.4523,0.0000,-54.1072,-54.1072
-0.4523,0.0750,-51.6572,-51.6572
-0.4523,0.1500,-53.1292,-53.1292
-0.4523,0.2250,-64.1031,-64.1031
-0.4523,0.3000,-56.2317,-56.2317
-0.4523,0.3750,-50.9349,-50.9349
-0.3769,-0.3750,-389.4721,-389.4721
-0.3769,-0.3000,-34.6294,-34.6294
-0.3769,-0.2250,-50.4444,-50.4444
-0.3769,-0.1500,-56.6092,-56.6092
-0.3769,-0.0750,-57.5295,-57.5295
-0.3769,0.0000,-65.3698,-65.3698
-0.3769,0.0750,-51.7265,-51.7265
-0.3769,0.1500,-47.7468,-47.7468
-0.3769,0.2250,-47.8785,-47.8785
-0.3769,0.3000,-47.7509,-47.7509
-0.3769,0.3750,-46.7037,-46.7037
-0.3016,-0.3750,-389.4721,-389.4721
-0.3016,-0.3000,-32.7137,-32.7137
-0.3016,-0.2250,-50.0001,-50.0001
-0.3016,-0.1500,-58.2689,-58.2689
-0.3016,-0.0750,-57.9300,-57.9300
-0.3016,0.0000,-59.2511,-59.2511
-0.3016,0.0750,-49.2985,-49.2985
-0.3016,0.1500,-45.8880,-45.8880
-0.3016,0.2250,-45.9314,-45.9314
-0.3016,0.3000,-46.0276,-46.0276
-0.3016,0.3750,-45.3791,-45.3791
-0.2262,-0.3750,-389.4721,-389.4721
-0.2262,-0.3000,-32.2316,-32.2316
-0.2262,-0.2250,-52.9658,-52.9658
-0.2262,-0.1500,-61.2236,-61.2236
-0.2262,-0.0750,-59.3801,-59.3801
-0.2262,0.0000,-49.3721,-49.3721
-0.2262,0.0750,-41.5113,-41.5113
-0.2262,0.1500,-38.4014,-38.4014
-0.2262,0.2250,-40.1582,-40.1582
-0.2262,0.3000,-45.4858,-45.4858
-0.2262,0.3750,-46.3511,-46.3511
-0.1508,-0.3750,-389.4721,-389.4721
-0.1508,-0.3000,-34.1290,-34.1290
-0.1508,-0.2250,-60.5946,-60.5946
-0.1508,-0.1500,-60.1219,-60.1219
-0.1508,-0.0750,-59.8578,-59.8578
-0.1508,0.0000,-41.5237,-41.5237
-0.1508,0.0750,-32.3182,-32.3182
-0.1508,0.1500,-29.0005,-29.0005
-0.1508,0.2250,-30.8703,-30.8703
-0.1508,0.3000,-38.7740,-38.7740
-0.1508,0.3750,-49.7647,-49.7647
-0.0754,-0.3750,-389.4721,-389.4721
-0.0754,-0.3000,-37.1590,-37.1590
-0.0754,-0.2250,-69.7413,-69.7413
-0.0754,-0.1500,-54.6871,-54.6871
-0.0754,-0.0750,-58.8709,-58.8709
-0.0754,0.0000,-35.9515,-35.9515
-0.0754,0.0750,-26.4322,-26.4322
-0.0754,0.1500,-23.0344,-23.0344
-0.0754,0.2250,-24.7706,-24.7706
-0.0754,0.3000,-32.2986,-32.2986
-0.0754,0.3750,-49.3798,-49.3798
0.0000,-0.3750,-389.4721,-389.4721
0.0000,-0.3000,-36.9000,-36.9000
0.0000,-0.2250,-60.8815,-60.8815
0.0000,-0.1500,-50.5767,-50.5767
0.0000,-0.0750,-57.8245,-57.8245
0.0000,0.0000,-32.4798,-32.4798
0.0000,0.0750,-22.8248,-22.8248
0.0000,0.1500,-19.3569,-19.3569
0.0000,0.2250,-20.9894,-20.9894
0.0000,0.3000,-28.2408,-28.2408
0.0000,0.3750,-44.6270,-44.6270
0.0754,-0.3750,-389.4721,-389.4721
0.0754,-0.3000,-50.5783,-50.5783
0.0754,-0.2250,-58.9372,-58.9372
0.0754,-0.1500,-49.3572,-49.3572
0.0754,-0.0750,-57.7700,-57.7700
0.0754,0.0000,-31.5455,-31.5455
0.0754,0.0750,-21.8171,-21.8171
0.0754,0.1500,-18.3090,-18.3090
0.0754,0.2250,-19.9010,-19.9010
0.0754,0.3000,-27.0814,-27.0814
0.0754,0.3750,-43.2368,-43.2368
0.1508,-0.3750,-389.4721,-389.4721
0.1508,-0.3000,-25.9885,-25.9885
0.1508,-0.2250,-60.9795,-60.9795
0.1508,-0.1500,-51.2258,-51.2258
0.1508,-0.0750,-60.5937,-60.5937
0.1508,0.0000,-33.5555,-33.5555
0.1508,0.0750,-23.7527,-23.7527
0.1508,0.1500,-20.2260,-20.2260
0.1508,0.2250,-21.8261,-21.8261
0.1508,0.3000,-29.0507,-29.0507
0.1508,0.3750,-45.3048,-45.3048
0.2262,-0.3750,-389.4721,-389.4721
0.2262,-0.3000,-26.8068,-26.8068
0.2262,-0.2250,-64.4931,-64.4931
0.2262,-0.1500,-56.3363,-56.3363
0.2262,-0.0750,-66.9677,-66.9677
0.2262,0.0000,-39.0921,-39.0921
0.2262,0.0750,-29.2003,-29.2003
0.2262,0.1500,-25.6935,-25.6935
0.2262,0.2250,-27.3693,-27.3693
0.2262,0.3000,-34.7547,-34.7547
0.2262,0.3750,-51.1268,-51.1268
0.3016,-0.3750,-389.4721,-389.4721
0.3016,-0.3000,-28.2382,-28.2382
0.3016,-0.2250,-60.1267,-60.1267
0.3016,-0.1500,-60.1261,-60.1261
0.3016,-0.0750,-67.9773,-67.9773
0.3016,0.0000,-48.7267,-48.7267
0.3016,0.0750,-39.2286,-39.2286
0.3016,0.1500,-36.0217,-36.0217
0.3016,0.2250,-38.0162,-38.0162
0.3016,0.3000,-45.7491,-45.7491
0.3016,0.3750,-59.7293,-59.7293
0.3769,-0.3750,-389.4721,-389.4721
0.3769,-0.3000,-29.1480,-29.1480
0.3769,-0.2250,-55.6130,-55.6130
0.3769,-0.1500,-57.4731,-57.4731
0.3769,-0.0750,-64.8395,-64.8395
0.3769,0.0000,-56.1247,-56.1247
0.3769,0.0750,-48.8137,-48.8137
0.3769,0.1500,-46.0604,-46.0604
0.3769,0.2250,-47.4195,-47.4195
0.3769,0.3000,-52.2141,-52.2141
0.3769,0.3750,-58.5474,-58.5474
0.4523,-0.3750,-389.4721,-389.4721
0.4523,-0.3000,-29.1926,-29.1926
0.4523,-0.2250,-53.1851,-53.1851
0.4523,-0.1500,-55.5673,-55.5673
0.4523,-0.0750,-63.0695,-63.0695
0.4523,0.0000,-58.2451,-58.2451
0.4523,0.0750,-50.9478,-50.9478
0.4523,0.1500,-47.3758,-47.3758
0.4523,0.2250,-48.2022,-48.2022
0.4523,0.3000,-53.0675,-53.0675
0.4523,0.3750,-58.5206,-58.5206
0.5277,-0.3750,-389.4721,-389.4721
0.5277,-0.3000,-29.5597,-29.5597
0.5277,-0.2250,-52.9225,-52.9225
