Theta,RCS
-180.0000,-26.4410
-179.0000,-26.4417
-178.0000,-26.4454
-177.0000,-26.4520
-176.0000,-26.4615
-175.0000,-26.4740
-174.0000,-26.4895
-173.0000,-26.5079
-172.0000,-26.5292
-171.0000,-26.5536
-170.0000,-26.5809
-169.0000,-26.6113
-168.0000,-26.6446
-167.0000,-26.6810
-166.0000,-26.7204
-165.0000,-26.7629
-164.0000,-26.8085
-163.0000,-26.8571
-162.0000,-26.9089
-161.0000,-26.9639
-160.0000,-27.0220
-159.0000,-27.0833
-158.0000,-27.1479
-157.0000,-27.2157
-156.0000,-27.2869
-155.0000,-27.3614
-154.0000,-27.4393
-153.0000,-27.5206
-152.0000,-27.6054
-151.0000,-27.6938
-150.0000,-27.7857
-149.0000,-27.8813
-148.0000,-27.9806
-147.0000,-28.0836
-146.0000,-28.1906
-145.0000,-28.3014
-144.0000,-28.4162
-143.0000,-28.5352
-142.0000,-28.6583
-141.0000,-28.7857
-140.0000,-28.9174
-139.0000,-29.0537
-138.0000,-29.1946
-137.0000,-29.3403
-136.0000,-29.4908
-135.0000,-29.6464
-134.0000,-29.8072
-133.0000,-29.9734
-132.0000,-30.1451
-131.0000,-30.3227
-130.0000,-30.5062
-129.0000,-30.6959
-128.0000,-30.8921
-127.0000,-31.0951
-126.0000,-31.3051
-125.0000,-31.5225
-124.0000,-31.7477
-123.0000,-31.9810
-122.0000,-32.2228
-121.0000,-32.4737
-120.0000,-32.7342
-119.0000,-33.0047
-118.0000,-33.2860
-117.0000,-33.5788
-116.0000,-33.8838
-115.0000,-34.2018
-114.0000,-34.5340
-113.0000,-34.8813
-112.0000,-35.2451
-111.0000,-35.6266
-110.0000,-36.0276
-109.0000,-36.4500
-108.0000,-36.8958
-107.0000,-37.3676
-106.0000,-37.8684
-105.0000,-38.4017
-104.0000,-38.9717
-103.0000,-39.5835
-102.0000,-40.2436
-101.0000,-40.9597
-100.0000,-41.7420
-99.0000,-42.6035
-98.0000,-43.5616
-97.0000,-44.6402
-96.0000,-45.8734
-95.0000,-47.3122
-94.0000,-49.0380
-93.0000,-51.1923
-92.0000,-54.0552
-91.0000,-58.3073
-90.0000,-66.2346
-89.0000,-66.6703
-88.0000,-58.5145
